dvs,treatment_old,treatment,subgroup,topline_error,topline,treatment_effect_error,treatment_effect,best_treatment,worst_treatment,backlash
Wix - Restaurant,0,Control,Falcons fans,0.0217450990820368,0.155991556688684,0,0,0.2538,0.7462,0
Buick - Not so Peewee Football,1,Ad,Did Not Watch,0.0533971593650049,0.292510597888414,0.065347612275121,-0.0138321209435918,0.4198,0.5802,0.5802
Buick - Not so Peewee Football,0,Control,Did Not Watch,0.0425889078800038,0.306342718832006,0,0,0.5802,0.4198,0
Buick - Not so Peewee Football,0,Control,Watched,0.0229736470694276,0.353751658792233,0,0,0.4426,0.5574,0
TurboTax - Humpty Hospital,0,Control,Whites,0.0227720540894874,0.480169642261988,0,0,0.6548,0.3452,0
Buick - Not so Peewee Football,0,Control,Age 65 and over,0.0329849969538341,0.318945804864242,0,0,0.4314,0.5686,0
Buick - Not so Peewee Football,1,Ad,No Team Preference,0.0428743206103989,0.311557517463696,0.0522377076085318,-0.0267043900197183,0.3106,0.6894,0.6894
Wix - Restaurant,0,Control,Age 50 to 64,0.0322213771426584,0.139585787505219,0,0,0.743,0.257,0
Wix - Restaurant,0,Control,Age 18 to 34,0.0397759699834902,0.23372774359396,0,0,0.0002,0.9998,0
Wix - Restaurant,0,Control,Age 65 and over,0.03259851046555,0.0731239209521851,0,0,0.5544,0.4456,0
TurboTax - Humpty Hospital,0,Control,Age 50 to 64,0.0370310568292358,0.471493080060911,0,0,0.7982,0.2018,0
Wix - Restaurant,1,Ad,Sort of Watched,0.0470477585836569,0.15220531536269,0.0548386961807427,0.00770993328150392,0.5776,0.4224,0.4224
Buick - Not so Peewee Football,1,Ad,Men,0.0365284767199673,0.316729081371006,0.0463576991138852,-0.0400699421161085,0.1932,0.8068,0.8068
TurboTax - Humpty Hospital,1,Ad,Watched,0.0308620522379027,0.472921048449178,0.0382429091590803,-0.0197242240992069,0.3042,0.6958,0.6958
Wix - Restaurant,1,Ad,Did Not Watch,0.0438298323640225,0.18765266283942,0.0540235042873417,0.0765836800615544,0.9326,0.0674,0.0674
TurboTax - Humpty Hospital,1,Ad,Age 35 to 49,0.0545000862054213,0.547870069520693,0.0661498179486093,0.0420690014217149,0.7356,0.2644,0.2644
TurboTax - Humpty Hospital,0,Control,Patriots fans,0.0496234590902471,0.565617738938709,0,0,0.9778,0.0222,0
TurboTax - Humpty Hospital,1,Ad,Age 50 to 64,0.0505683604701703,0.421153104666648,0.0598777023227781,-0.0503399753942631,0.2018,0.7982,0.7982
TurboTax - Humpty Hospital,0,Control,Men,0.0294792803775694,0.4874287055314,0,0,0.8886,0.1114,0
Wix - Restaurant,1,Ad,Patriots fans,0.0423397909197179,0.201072432382601,0.0522485871974817,0.0128605667365581,0.6118,0.3882,0.3882
